timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High),augmentation,Min Ferret Variance (R²),Min Ferret Variance (CI Low),Min Ferret Variance (CI High),Min Ferret Skewness (R²),Min Ferret Skewness (CI Low),Min Ferret Skewness (CI High),Min Ferret Kurtosis (R²),Min Ferret Kurtosis (CI Low),Min Ferret Kurtosis (CI High),Max Ferret Variance (R²),Max Ferret Variance (CI Low),Max Ferret Variance (CI High),Max Ferret Skewness (R²),Max Ferret Skewness (CI Low),Max Ferret Skewness (CI High),Max Ferret Kurtosis (R²),Max Ferret Kurtosis (CI Low),Max Ferret Kurtosis (CI High),Height Variance (R²),Height Variance (CI Low),Height Variance (CI High),Height Skewness (R²),Height Skewness (CI Low),Height Skewness (CI High),Height Kurtosis (R²),Height Kurtosis (CI Low),Height Kurtosis (CI High),Area Variance (R²),Area Variance (CI Low),Area Variance (CI High),Area Skewness (R²),Area Skewness (CI Low),Area Skewness (CI High),Area Kurtosis (R²),Area Kurtosis (CI Low),Area Kurtosis (CI High),Volume Variance (R²),Volume Variance (CI Low),Volume Variance (CI High),Volume Skewness (R²),Volume Skewness (CI Low),Volume Skewness (CI High),Volume Kurtosis (R²),Volume Kurtosis (CI Low),Volume Kurtosis (CI High)
20251203_010213,attention_unet_20251203_010213_32dim,attention_unet,32,10,2,0.000339,0.000157,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_010213_32dim/final.pth,-0.1415,-0.2365,-3.1192,0.1065,-0.1691,-2.8621,0.1564,-0.1994,-1.553,0.1308,-0.0912,-2.3768,0.3916,0.0602,-0.7162,0.3277,-0.1248,-0.9545,0.2491,-0.0693,-0.8282,0.2624,-0.1604,-1.1254,0.0433,-0.0292,-1.0938,0.2908,-0.3949,-5.3164,-0.0079,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_011753,autoencoder_20251203_011753_32dim,autoencoder,32,250,177,0.000235,0.000583,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_011753_32dim/final.pth,-0.0917,-0.1958,-1.5136,-0.0728,-0.1793,-1.6699,-0.0434,-0.2212,-1.3185,-0.0139,-0.0776,-1.4914,0.1281,0.1633,-0.2735,0.3306,-0.0412,-0.4883,0.1264,-0.0085,-0.4648,0.169,-0.0357,-0.6474,0.1005,0.1372,-0.4604,0.3668,-0.4581,-6.2014,-0.1377,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_013114,variational_autoencoder_20251203_013114_32dim,variational_autoencoder,32,500,332,0.002702,0.002387,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_013114_32dim/final.pth,0.1606,-0.2064,-2.5726,0.0178,-0.1844,-2.6404,0.0334,-0.0082,-0.6543,0.1102,0.1118,-0.5985,0.2271,0.5934,0.468,0.7515,0.3319,-0.0543,0.4507,0.4153,0.1027,0.5584,0.1336,-0.5046,0.3032,0.4738,0.1611,0.6593,-0.0551,-3.8611,0.4312,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_014051,bigger_variational_autoencoder_20251203_014051_32dim,bigger_variational_autoencoder,32,100,82,0.002942,0.003475,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_014051_32dim/final.pth,0.0584,0.0856,-2.1945,0.3402,0.1092,-2.0829,0.3741,0.1163,-0.4493,0.4544,0.1047,-0.9286,0.4991,0.0986,-0.2625,0.501,0.0419,-0.4031,0.3451,0.0455,-0.3935,0.3399,-0.0857,-0.8742,0.1274,0.1941,-0.294,0.4138,-0.1259,-2.6618,0.089,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_020546,even_smaller_variational_autoencoder_20251203_020546_32dim,even_smaller_variational_autoencoder,32,500,130,0.003748,0.004258,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_020546_32dim/final.pth,0.0058,-0.297,-2.7306,-0.0626,-0.3053,-3.3248,-0.0528,-0.2371,-1.1156,-0.0817,-0.0828,-1.7211,0.0791,0.3573,0.0224,0.4382,0.211,-0.0596,0.334,0.3204,0.0642,0.5153,0.0893,-0.7584,0.2934,0.3797,0.0324,0.5901,-0.3769,-6.6777,0.0221,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_012244,attention_unet_20251204_012244_32dim,attention_unet,32,150,130,0.000112,8.9e-05,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251204_012244_32dim/final.pth,0.0751,-0.1742,-3.246,0.1506,-0.1525,-3.2582,0.1408,0.1005,-0.73,0.2898,0.1177,-1.3565,0.2994,0.4915,0.0971,0.5933,0.1971,-0.2481,0.3817,0.315,-0.09,0.474,0.1071,-0.8039,0.4263,0.2537,-0.3343,0.5223,-0.505,-9.2052,-0.0205,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_013902,autoencoder_20251204_013902_32dim,autoencoder,32,3750,609,0.000129,0.000499,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251204_013902_32dim/final.pth,0.0441,-0.1934,-1.7301,-0.0569,-0.1185,-1.516,-0.0133,-0.0979,-0.4166,0.1387,0.073,-0.7382,0.2759,0.3659,-0.1141,0.5955,0.1607,-0.2892,0.3513,0.2742,-0.2402,0.4975,0.0103,-0.5324,0.1857,0.2727,-0.28,0.5155,-0.3063,-5.316,0.0772,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_015135,variational_autoencoder_20251204_015135_32dim,variational_autoencoder,32,7500,6905,0.002518,0.002212,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251204_015135_32dim/final.pth,-0.1296,-0.3525,-2.5205,-0.1347,-0.3393,-2.9354,-0.1464,-0.1314,-0.7378,0.0294,-0.1814,-1.5196,-0.0787,0.2637,-0.1239,0.392,-0.0612,-0.5627,0.1459,-0.0521,-0.517,0.1408,0.0419,-0.7494,0.2447,0.1099,-0.5249,0.3478,-0.5934,-6.002,-0.1715,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_015917,bigger_variational_autoencoder_20251204_015917_32dim,bigger_variational_autoencoder,32,1500,574,0.002835,0.003674,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251204_015917_32dim/final.pth,0.0226,-0.0093,-1.9443,0.1346,-0.0001,-1.6931,0.1187,0.0033,-0.8437,0.202,0.0932,-1.1775,0.2436,0.2749,-0.2473,0.4053,0.1179,-0.3712,0.3074,0.1195,-0.3649,0.2934,-0.0732,-0.7602,0.0948,0.2375,-0.1977,0.4615,-0.5378,-6.3435,-0.0834,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_022507,even_smaller_variational_autoencoder_20251204_022507_32dim,even_smaller_variational_autoencoder,32,7500,4786,0.003361,0.002896,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251204_022507_32dim/final.pth,-0.0249,-0.122,-2.7855,0.1273,-0.0939,-2.4209,0.1221,-0.1143,-0.7355,0.0824,-0.0183,-1.1476,0.1467,0.1935,-0.2726,0.4956,0.0226,-0.4501,0.2716,0.0905,-0.3091,0.3266,-0.0137,-0.3958,0.197,0.1086,-0.5233,0.4036,-0.3017,-4.7889,-0.0374,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
