model,latent_dim,augmentation,Min Ferret Median (R²),Max Ferret Median (R²),Height Median (R²),Area Median (R²),Volume Median (R²)
attention_unet,8,False,-0.0978,-0.0711,-0.334,-0.1422,-0.4693
attention_unet,8,True,-0.0915,0.0003,-0.3848,-0.2187,-0.5999
attention_unet,32,False,0.1971,0.315,0.1071,0.2537,-0.505
attention_unet,32,True,-0.1248,-0.0693,-0.1604,-0.0292,-0.3949
attention_unet,64,False,-0.0332,-0.0764,-0.5373,-0.0597,-0.6102
attention_unet,64,True,-0.2169,-0.2551,-0.2587,-0.0015,-0.455
autoencoder,8,False,0.1627,0.2328,-0.1094,0.2386,-0.4128
autoencoder,8,True,0.0746,0.1308,0.0011,0.2674,-0.2635
autoencoder,32,False,0.1607,0.2742,0.0103,0.2727,-0.3063
autoencoder,32,True,-0.0412,-0.0085,-0.0357,0.1372,-0.4581
autoencoder,64,False,0.066,0.1496,0.0945,0.2678,-0.214
autoencoder,64,True,-0.0344,0.0563,-0.0755,0.2029,-0.5247
bigger_variational_autoencoder,8,False,0.0172,0.0359,0.0972,0.3058,-0.4
bigger_variational_autoencoder,8,True,0.0013,0.0003,-0.1681,0.1648,-0.4202
bigger_variational_autoencoder,32,False,0.1179,0.1195,-0.0732,0.2375,-0.5378
bigger_variational_autoencoder,32,True,0.0419,0.0455,-0.0857,0.1941,-0.1259
bigger_variational_autoencoder,64,False,-0.0174,0.054,-0.002,0.2096,-0.4125
bigger_variational_autoencoder,64,True,0.0031,0.0269,0.0241,0.2819,-0.3061
even_smaller_variational_autoencoder,8,False,0.0162,0.0618,0.087,0.2415,-0.3673
even_smaller_variational_autoencoder,8,True,-0.1,-0.0389,-0.1338,0.2501,-0.2701
even_smaller_variational_autoencoder,32,False,0.0226,0.0905,-0.0137,0.1086,-0.3017
even_smaller_variational_autoencoder,32,True,0.211,0.3204,0.0893,0.3797,-0.3769
even_smaller_variational_autoencoder,64,False,0.1699,0.2958,0.0948,0.3296,-0.2648
even_smaller_variational_autoencoder,64,True,0.2004,0.2408,0.0209,0.2497,-0.264
semi_supervised_vae,8,False,-0.2325,-0.4477,0.0561,-0.2848,0.0676
semi_supervised_vae,8,True,-0.151,-0.291,0.192,-0.1311,0.1318
semi_supervised_vae,32,False,0.0404,-0.3323,0.3206,-0.3119,0.2025
semi_supervised_vae,32,True,-0.2934,-0.5571,0.3269,-0.2893,0.2368
semi_supervised_vae,64,False,-0.0445,-0.3291,0.3611,-0.2899,0.3153
semi_supervised_vae,64,True,-0.1542,-0.6062,0.2225,-0.1602,0.169
variational_autoencoder,8,False,0.0596,0.0845,0.1594,0.2017,-0.3111
variational_autoencoder,8,True,0.1321,0.1959,0.0311,0.3053,-0.2313
variational_autoencoder,32,False,-0.0612,-0.0521,0.0419,0.1099,-0.5934
variational_autoencoder,32,True,0.3319,0.4153,0.1336,0.4738,-0.0551
variational_autoencoder,64,False,0.0945,0.1383,-0.1433,0.135,-0.2876
variational_autoencoder,64,True,0.1214,0.198,-0.0521,0.3596,-0.3281
